FirstDate,02-2015,1,2,2015,2015-02-27,2024-02-12
FirstDate,03-2015,0,3,2015,2015-02-27,2024-02-12
FirstDate,04-2015,0,4,2015,2015-02-27,2024-02-12
FirstDate,05-2015,0,5,2015,2015-02-27,2024-02-12
FirstDate,06-2015,1,6,2015,2015-02-27,2024-02-12
FirstDate,07-2015,0,7,2015,2015-02-27,2024-02-12
FirstDate,08-2015,0,8,2015,2015-02-27,2024-02-12
FirstDate,09-2015,0,9,2015,2015-02-27,2024-02-12
FirstDate,10-2015,1,10,2015,2015-02-27,2024-02-12
FirstDate,11-2015,2,11,2015,2015-02-27,2024-02-12
FirstDate,12-2015,2,12,2015,2015-02-27,2024-02-12
FirstDate,01-2016,2,1,2016,2015-02-27,2024-02-12
FirstDate,02-2016,9,2,2016,2015-02-27,2024-02-12
FirstDate,03-2016,6,3,2016,2015-02-27,2024-02-12
FirstDate,04-2016,5,4,2016,2015-02-27,2024-02-12
FirstDate,05-2016,2,5,2016,2015-02-27,2024-02-12
FirstDate,06-2016,2,6,2016,2015-02-27,2024-02-12
FirstDate,07-2016,4,7,2016,2015-02-27,2024-02-12
FirstDate,08-2016,5,8,2016,2015-02-27,2024-02-12
FirstDate,09-2016,12,9,2016,2015-02-27,2024-02-12
FirstDate,10-2016,2,10,2016,2015-02-27,2024-02-12
FirstDate,11-2016,1,11,2016,2015-02-27,2024-02-12
FirstDate,12-2016,3,12,2016,2015-02-27,2024-02-12
FirstDate,01-2017,3,1,2017,2015-02-27,2024-02-12
FirstDate,02-2017,2,2,2017,2015-02-27,2024-02-12
FirstDate,03-2017,13,3,2017,2015-02-27,2024-02-12
FirstDate,04-2017,2,4,2017,2015-02-27,2024-02-12
FirstDate,05-2017,5,5,2017,2015-02-27,2024-02-12
FirstDate,06-2017,9,6,2017,2015-02-27,2024-02-12
FirstDate,07-2017,7,7,2017,2015-02-27,2024-02-12
FirstDate,08-2017,5,8,2017,2015-02-27,2024-02-12
FirstDate,09-2017,5,9,2017,2015-02-27,2024-02-12
FirstDate,10-2017,3,10,2017,2015-02-27,2024-02-12
FirstDate,11-2017,4,11,2017,2015-02-27,2024-02-12
FirstDate,12-2017,11,12,2017,2015-02-27,2024-02-12
FirstDate,01-2018,12,1,2018,2015-02-27,2024-02-12
FirstDate,02-2018,4,2,2018,2015-02-27,2024-02-12
FirstDate,03-2018,5,3,2018,2015-02-27,2024-02-12
FirstDate,04-2018,8,4,2018,2015-02-27,2024-02-12
FirstDate,05-2018,4,5,2018,2015-02-27,2024-02-12
FirstDate,06-2018,5,6,2018,2015-02-27,2024-02-12
FirstDate,07-2018,8,7,2018,2015-02-27,2024-02-12
FirstDate,08-2018,12,8,2018,2015-02-27,2024-02-12
FirstDate,09-2018,11,9,2018,2015-02-27,2024-02-12
FirstDate,10-2018,11,10,2018,2015-02-27,2024-02-12
FirstDate,11-2018,16,11,2018,2015-02-27,2024-02-12
FirstDate,12-2018,2,12,2018,2015-02-27,2024-02-12
FirstDate,01-2019,11,1,2019,2015-02-27,2024-02-12
FirstDate,02-2019,5,2,2019,2015-02-27,2024-02-12
FirstDate,03-2019,8,3,2019,2015-02-27,2024-02-12
FirstDate,04-2019,10,4,2019,2015-02-27,2024-02-12
FirstDate,05-2019,16,5,2019,2015-02-27,2024-02-12
FirstDate,06-2019,8,6,2019,2015-02-27,2024-02-12
FirstDate,07-2019,7,7,2019,2015-02-27,2024-02-12
FirstDate,08-2019,14,8,2019,2015-02-27,2024-02-12
FirstDate,09-2019,6,9,2019,2015-02-27,2024-02-12
FirstDate,10-2019,5,10,2019,2015-02-27,2024-02-12
FirstDate,11-2019,9,11,2019,2015-02-27,2024-02-12
FirstDate,12-2019,10,12,2019,2015-02-27,2024-02-12
FirstDate,01-2020,9,1,2020,2015-02-27,2024-02-12
FirstDate,02-2020,12,2,2020,2015-02-27,2024-02-12
FirstDate,03-2020,10,3,2020,2015-02-27,2024-02-12
FirstDate,04-2020,2,4,2020,2015-02-27,2024-02-12
FirstDate,05-2020,2,5,2020,2015-02-27,2024-02-12
FirstDate,06-2020,8,6,2020,2015-02-27,2024-02-12
FirstDate,07-2020,2,7,2020,2015-02-27,2024-02-12
FirstDate,08-2020,1,8,2020,2015-02-27,2024-02-12
FirstDate,09-2020,7,9,2020,2015-02-27,2024-02-12
FirstDate,10-2020,3,10,2020,2015-02-27,2024-02-12
FirstDate,11-2020,10,11,2020,2015-02-27,2024-02-12
FirstDate,12-2020,8,12,2020,2015-02-27,2024-02-12
FirstDate,01-2021,3,1,2021,2015-02-27,2024-02-12
FirstDate,02-2021,7,2,2021,2015-02-27,2024-02-12
FirstDate,03-2021,15,3,2021,2015-02-27,2024-02-12
FirstDate,04-2021,3,4,2021,2015-02-27,2024-02-12
FirstDate,05-2021,6,5,2021,2015-02-27,2024-02-12
FirstDate,06-2021,15,6,2021,2015-02-27,2024-02-12
FirstDate,07-2021,20,7,2021,2015-02-27,2024-02-12
FirstDate,08-2021,5,8,2021,2015-02-27,2024-02-12
FirstDate,09-2021,14,9,2021,2015-02-27,2024-02-12
FirstDate,10-2021,19,10,2021,2015-02-27,2024-02-12
FirstDate,11-2021,36,11,2021,2015-02-27,2024-02-12
FirstDate,12-2021,25,12,2021,2015-02-27,2024-02-12
FirstDate,01-2022,34,1,2022,2015-02-27,2024-02-12
FirstDate,02-2022,31,2,2022,2015-02-27,2024-02-12
FirstDate,03-2022,115,3,2022,2015-02-27,2024-02-12
FirstDate,04-2022,91,4,2022,2015-02-27,2024-02-12
FirstDate,05-2022,93,5,2022,2015-02-27,2024-02-12
FirstDate,06-2022,168,6,2022,2015-02-27,2024-02-12
FirstDate,07-2022,142,7,2022,2015-02-27,2024-02-12
FirstDate,08-2022,189,8,2022,2015-02-27,2024-02-12
FirstDate,09-2022,382,9,2022,2015-02-27,2024-02-12
FirstDate,10-2022,701,10,2022,2015-02-27,2024-02-12
FirstDate,11-2022,1360,11,2022,2015-02-27,2024-02-12
FirstDate,12-2022,1135,12,2022,2015-02-27,2024-02-12
FirstDate,01-2023,1464,1,2023,2015-02-27,2024-02-12
FirstDate,02-2023,1346,2,2023,2015-02-27,2024-02-12
FirstDate,03-2023,1464,3,2023,2015-02-27,2024-02-12
FirstDate,04-2023,1219,4,2023,2015-02-27,2024-02-12
FirstDate,05-2023,1033,5,2023,2015-02-27,2024-02-12
FirstDate,06-2023,1072,6,2023,2015-02-27,2024-02-12
FirstDate,07-2023,874,7,2023,2015-02-27,2024-02-12
FirstDate,08-2023,786,8,2023,2015-02-27,2024-02-12
FirstDate,09-2023,964,9,2023,2015-02-27,2024-02-12
FirstDate,10-2023,906,10,2023,2015-02-27,2024-02-12
FirstDate,11-2023,811,11,2023,2015-02-27,2024-02-12
FirstDate,12-2023,781,12,2023,2015-02-27,2024-02-12
FirstDate,01-2024,1082,1,2024,2015-02-27,2024-02-12
LatestDate,02-2015,1,2,2015,2015-02-27,2024-02-12
LatestDate,03-2015,0,3,2015,2015-02-27,2024-02-12
LatestDate,04-2015,0,4,2015,2015-02-27,2024-02-12
LatestDate,05-2015,0,5,2015,2015-02-27,2024-02-12
LatestDate,06-2015,1,6,2015,2015-02-27,2024-02-12
LatestDate,07-2015,0,7,2015,2015-02-27,2024-02-12
LatestDate,08-2015,0,8,2015,2015-02-27,2024-02-12
LatestDate,09-2015,0,9,2015,2015-02-27,2024-02-12
LatestDate,10-2015,1,10,2015,2015-02-27,2024-02-12
LatestDate,11-2015,1,11,2015,2015-02-27,2024-02-12
LatestDate,12-2015,2,12,2015,2015-02-27,2024-02-12
LatestDate,01-2016,1,1,2016,2015-02-27,2024-02-12
LatestDate,02-2016,9,2,2016,2015-02-27,2024-02-12
LatestDate,03-2016,3,3,2016,2015-02-27,2024-02-12
LatestDate,04-2016,5,4,2016,2015-02-27,2024-02-12
LatestDate,05-2016,2,5,2016,2015-02-27,2024-02-12
LatestDate,06-2016,1,6,2016,2015-02-27,2024-02-12
LatestDate,07-2016,3,7,2016,2015-02-27,2024-02-12
LatestDate,08-2016,3,8,2016,2015-02-27,2024-02-12
LatestDate,09-2016,9,9,2016,2015-02-27,2024-02-12
LatestDate,10-2016,2,10,2016,2015-02-27,2024-02-12
LatestDate,11-2016,1,11,2016,2015-02-27,2024-02-12
LatestDate,12-2016,2,12,2016,2015-02-27,2024-02-12
LatestDate,01-2017,3,1,2017,2015-02-27,2024-02-12
LatestDate,02-2017,1,2,2017,2015-02-27,2024-02-12
LatestDate,03-2017,8,3,2017,2015-02-27,2024-02-12
LatestDate,04-2017,2,4,2017,2015-02-27,2024-02-12
LatestDate,05-2017,4,5,2017,2015-02-27,2024-02-12
LatestDate,06-2017,7,6,2017,2015-02-27,2024-02-12
LatestDate,07-2017,6,7,2017,2015-02-27,2024-02-12
LatestDate,08-2017,3,8,2017,2015-02-27,2024-02-12
LatestDate,09-2017,2,9,2017,2015-02-27,2024-02-12
LatestDate,10-2017,3,10,2017,2015-02-27,2024-02-12
LatestDate,11-2017,3,11,2017,2015-02-27,2024-02-12
LatestDate,12-2017,8,12,2017,2015-02-27,2024-02-12
LatestDate,01-2018,9,1,2018,2015-02-27,2024-02-12
LatestDate,02-2018,2,2,2018,2015-02-27,2024-02-12
LatestDate,03-2018,1,3,2018,2015-02-27,2024-02-12
LatestDate,04-2018,5,4,2018,2015-02-27,2024-02-12
LatestDate,05-2018,4,5,2018,2015-02-27,2024-02-12
LatestDate,06-2018,3,6,2018,2015-02-27,2024-02-12
LatestDate,07-2018,8,7,2018,2015-02-27,2024-02-12
LatestDate,08-2018,9,8,2018,2015-02-27,2024-02-12
LatestDate,09-2018,5,9,2018,2015-02-27,2024-02-12
LatestDate,10-2018,4,10,2018,2015-02-27,2024-02-12
LatestDate,11-2018,8,11,2018,2015-02-27,2024-02-12
LatestDate,12-2018,2,12,2018,2015-02-27,2024-02-12
LatestDate,01-2019,9,1,2019,2015-02-27,2024-02-12
LatestDate,02-2019,2,2,2019,2015-02-27,2024-02-12
LatestDate,03-2019,6,3,2019,2015-02-27,2024-02-12
LatestDate,04-2019,4,4,2019,2015-02-27,2024-02-12
LatestDate,05-2019,7,5,2019,2015-02-27,2024-02-12
LatestDate,06-2019,5,6,2019,2015-02-27,2024-02-12
LatestDate,07-2019,2,7,2019,2015-02-27,2024-02-12
LatestDate,08-2019,9,8,2019,2015-02-27,2024-02-12
LatestDate,09-2019,4,9,2019,2015-02-27,2024-02-12
LatestDate,10-2019,2,10,2019,2015-02-27,2024-02-12
LatestDate,11-2019,5,11,2019,2015-02-27,2024-02-12
LatestDate,12-2019,8,12,2019,2015-02-27,2024-02-12
LatestDate,01-2020,8,1,2020,2015-02-27,2024-02-12
LatestDate,02-2020,10,2,2020,2015-02-27,2024-02-12
LatestDate,03-2020,5,3,2020,2015-02-27,2024-02-12
LatestDate,04-2020,1,4,2020,2015-02-27,2024-02-12
LatestDate,05-2020,1,5,2020,2015-02-27,2024-02-12
LatestDate,06-2020,7,6,2020,2015-02-27,2024-02-12
LatestDate,07-2020,2,7,2020,2015-02-27,2024-02-12
LatestDate,08-2020,0,8,2020,2015-02-27,2024-02-12
LatestDate,09-2020,4,9,2020,2015-02-27,2024-02-12
LatestDate,10-2020,1,10,2020,2015-02-27,2024-02-12
LatestDate,11-2020,3,11,2020,2015-02-27,2024-02-12
LatestDate,12-2020,5,12,2020,2015-02-27,2024-02-12
LatestDate,01-2021,2,1,2021,2015-02-27,2024-02-12
LatestDate,02-2021,6,2,2021,2015-02-27,2024-02-12
LatestDate,03-2021,14,3,2021,2015-02-27,2024-02-12
LatestDate,04-2021,1,4,2021,2015-02-27,2024-02-12
LatestDate,05-2021,3,5,2021,2015-02-27,2024-02-12
LatestDate,06-2021,12,6,2021,2015-02-27,2024-02-12
LatestDate,07-2021,12,7,2021,2015-02-27,2024-02-12
LatestDate,08-2021,3,8,2021,2015-02-27,2024-02-12
LatestDate,09-2021,8,9,2021,2015-02-27,2024-02-12
LatestDate,10-2021,10,10,2021,2015-02-27,2024-02-12
LatestDate,11-2021,15,11,2021,2015-02-27,2024-02-12
LatestDate,12-2021,16,12,2021,2015-02-27,2024-02-12
LatestDate,01-2022,20,1,2022,2015-02-27,2024-02-12
LatestDate,02-2022,15,2,2022,2015-02-27,2024-02-12
LatestDate,03-2022,51,3,2022,2015-02-27,2024-02-12
LatestDate,04-2022,44,4,2022,2015-02-27,2024-02-12
LatestDate,05-2022,45,5,2022,2015-02-27,2024-02-12
LatestDate,06-2022,84,6,2022,2015-02-27,2024-02-12
LatestDate,07-2022,72,7,2022,2015-02-27,2024-02-12
LatestDate,08-2022,100,8,2022,2015-02-27,2024-02-12
LatestDate,09-2022,183,9,2022,2015-02-27,2024-02-12
LatestDate,10-2022,366,10,2022,2015-02-27,2024-02-12
LatestDate,11-2022,784,11,2022,2015-02-27,2024-02-12
LatestDate,12-2022,756,12,2022,2015-02-27,2024-02-12
LatestDate,01-2023,1076,1,2023,2015-02-27,2024-02-12
LatestDate,02-2023,1036,2,2023,2015-02-27,2024-02-12
LatestDate,03-2023,1246,3,2023,2015-02-27,2024-02-12
LatestDate,04-2023,1100,4,2023,2015-02-27,2024-02-12
LatestDate,05-2023,999,5,2023,2015-02-27,2024-02-12
LatestDate,06-2023,1120,6,2023,2015-02-27,2024-02-12
LatestDate,07-2023,1031,7,2023,2015-02-27,2024-02-12
LatestDate,08-2023,961,8,2023,2015-02-27,2024-02-12
LatestDate,09-2023,1256,9,2023,2015-02-27,2024-02-12
LatestDate,10-2023,1211,10,2023,2015-02-27,2024-02-12
LatestDate,11-2023,1249,11,2023,2015-02-27,2024-02-12
LatestDate,12-2023,1321,12,2023,2015-02-27,2024-02-12
LatestDate,01-2024,1964,1,2024,2015-02-27,2024-02-12
DateOfBirth,01-1900,5,1,1900,1900-01-01,2023-04-11
DateOfBirth,02-1900,0,2,1900,1900-01-01,2023-04-11
DateOfBirth,03-1900,0,3,1900,1900-01-01,2023-04-11
DateOfBirth,04-1900,0,4,1900,1900-01-01,2023-04-11
DateOfBirth,05-1900,0,5,1900,1900-01-01,2023-04-11
DateOfBirth,06-1900,0,6,1900,1900-01-01,2023-04-11
DateOfBirth,07-1900,0,7,1900,1900-01-01,2023-04-11
DateOfBirth,08-1900,0,8,1900,1900-01-01,2023-04-11
DateOfBirth,09-1900,0,9,1900,1900-01-01,2023-04-11
DateOfBirth,10-1900,0,10,1900,1900-01-01,2023-04-11
DateOfBirth,11-1900,0,11,1900,1900-01-01,2023-04-11
DateOfBirth,12-1900,0,12,1900,1900-01-01,2023-04-11
DateOfBirth,01-1901,0,1,1901,1900-01-01,2023-04-11
DateOfBirth,02-1901,0,2,1901,1900-01-01,2023-04-11
DateOfBirth,03-1901,0,3,1901,1900-01-01,2023-04-11
DateOfBirth,04-1901,0,4,1901,1900-01-01,2023-04-11
DateOfBirth,05-1901,0,5,1901,1900-01-01,2023-04-11
DateOfBirth,06-1901,0,6,1901,1900-01-01,2023-04-11
DateOfBirth,07-1901,0,7,1901,1900-01-01,2023-04-11
DateOfBirth,08-1901,0,8,1901,1900-01-01,2023-04-11
DateOfBirth,09-1901,0,9,1901,1900-01-01,2023-04-11
DateOfBirth,10-1901,0,10,1901,1900-01-01,2023-04-11
DateOfBirth,11-1901,0,11,1901,1900-01-01,2023-04-11
DateOfBirth,12-1901,0,12,1901,1900-01-01,2023-04-11
DateOfBirth,01-1902,0,1,1902,1900-01-01,2023-04-11
DateOfBirth,02-1902,0,2,1902,1900-01-01,2023-04-11
DateOfBirth,03-1902,0,3,1902,1900-01-01,2023-04-11
DateOfBirth,04-1902,0,4,1902,1900-01-01,2023-04-11
DateOfBirth,05-1902,0,5,1902,1900-01-01,2023-04-11
DateOfBirth,06-1902,0,6,1902,1900-01-01,2023-04-11
DateOfBirth,07-1902,0,7,1902,1900-01-01,2023-04-11
DateOfBirth,08-1902,0,8,1902,1900-01-01,2023-04-11
DateOfBirth,09-1902,0,9,1902,1900-01-01,2023-04-11
DateOfBirth,10-1902,0,10,1902,1900-01-01,2023-04-11
DateOfBirth,11-1902,0,11,1902,1900-01-01,2023-04-11
DateOfBirth,12-1902,0,12,1902,1900-01-01,2023-04-11
DateOfBirth,01-1903,0,1,1903,1900-01-01,2023-04-11
DateOfBirth,02-1903,0,2,1903,1900-01-01,2023-04-11
DateOfBirth,03-1903,0,3,1903,1900-01-01,2023-04-11
DateOfBirth,04-1903,0,4,1903,1900-01-01,2023-04-11
DateOfBirth,05-1903,0,5,1903,1900-01-01,2023-04-11
DateOfBirth,06-1903,0,6,1903,1900-01-01,2023-04-11
DateOfBirth,07-1903,0,7,1903,1900-01-01,2023-04-11
DateOfBirth,08-1903,0,8,1903,1900-01-01,2023-04-11
DateOfBirth,09-1903,0,9,1903,1900-01-01,2023-04-11
DateOfBirth,10-1903,0,10,1903,1900-01-01,2023-04-11
DateOfBirth,11-1903,0,11,1903,1900-01-01,2023-04-11
DateOfBirth,12-1903,0,12,1903,1900-01-01,2023-04-11
DateOfBirth,01-1904,1,1,1904,1900-01-01,2023-04-11
DateOfBirth,02-1904,0,2,1904,1900-01-01,2023-04-11
DateOfBirth,03-1904,0,3,1904,1900-01-01,2023-04-11
DateOfBirth,04-1904,0,4,1904,1900-01-01,2023-04-11
DateOfBirth,05-1904,0,5,1904,1900-01-01,2023-04-11
DateOfBirth,06-1904,0,6,1904,1900-01-01,2023-04-11
DateOfBirth,07-1904,0,7,1904,1900-01-01,2023-04-11
DateOfBirth,08-1904,0,8,1904,1900-01-01,2023-04-11
DateOfBirth,09-1904,0,9,1904,1900-01-01,2023-04-11
DateOfBirth,10-1904,0,10,1904,1900-01-01,2023-04-11
DateOfBirth,11-1904,0,11,1904,1900-01-01,2023-04-11
DateOfBirth,12-1904,0,12,1904,1900-01-01,2023-04-11
DateOfBirth,01-1905,0,1,1905,1900-01-01,2023-04-11
DateOfBirth,02-1905,0,2,1905,1900-01-01,2023-04-11
DateOfBirth,03-1905,0,3,1905,1900-01-01,2023-04-11
DateOfBirth,04-1905,0,4,1905,1900-01-01,2023-04-11
DateOfBirth,05-1905,0,5,1905,1900-01-01,2023-04-11
DateOfBirth,06-1905,0,6,1905,1900-01-01,2023-04-11
DateOfBirth,07-1905,0,7,1905,1900-01-01,2023-04-11
DateOfBirth,08-1905,0,8,1905,1900-01-01,2023-04-11
DateOfBirth,09-1905,0,9,1905,1900-01-01,2023-04-11
DateOfBirth,10-1905,0,10,1905,1900-01-01,2023-04-11
DateOfBirth,11-1905,0,11,1905,1900-01-01,2023-04-11
DateOfBirth,12-1905,0,12,1905,1900-01-01,2023-04-11
DateOfBirth,01-1906,0,1,1906,1900-01-01,2023-04-11
DateOfBirth,02-1906,0,2,1906,1900-01-01,2023-04-11
DateOfBirth,03-1906,0,3,1906,1900-01-01,2023-04-11
DateOfBirth,04-1906,0,4,1906,1900-01-01,2023-04-11
DateOfBirth,05-1906,0,5,1906,1900-01-01,2023-04-11
DateOfBirth,06-1906,0,6,1906,1900-01-01,2023-04-11
DateOfBirth,07-1906,0,7,1906,1900-01-01,2023-04-11
DateOfBirth,08-1906,0,8,1906,1900-01-01,2023-04-11
DateOfBirth,09-1906,0,9,1906,1900-01-01,2023-04-11
DateOfBirth,10-1906,0,10,1906,1900-01-01,2023-04-11
DateOfBirth,11-1906,0,11,1906,1900-01-01,2023-04-11
DateOfBirth,12-1906,0,12,1906,1900-01-01,2023-04-11
DateOfBirth,01-1907,0,1,1907,1900-01-01,2023-04-11
DateOfBirth,02-1907,0,2,1907,1900-01-01,2023-04-11
DateOfBirth,03-1907,0,3,1907,1900-01-01,2023-04-11
DateOfBirth,04-1907,0,4,1907,1900-01-01,2023-04-11
DateOfBirth,05-1907,0,5,1907,1900-01-01,2023-04-11
DateOfBirth,06-1907,0,6,1907,1900-01-01,2023-04-11
DateOfBirth,07-1907,0,7,1907,1900-01-01,2023-04-11
DateOfBirth,08-1907,0,8,1907,1900-01-01,2023-04-11
DateOfBirth,09-1907,0,9,1907,1900-01-01,2023-04-11
DateOfBirth,10-1907,0,10,1907,1900-01-01,2023-04-11
DateOfBirth,11-1907,0,11,1907,1900-01-01,2023-04-11
DateOfBirth,12-1907,0,12,1907,1900-01-01,2023-04-11
DateOfBirth,01-1908,0,1,1908,1900-01-01,2023-04-11
DateOfBirth,02-1908,0,2,1908,1900-01-01,2023-04-11
DateOfBirth,03-1908,0,3,1908,1900-01-01,2023-04-11
DateOfBirth,04-1908,0,4,1908,1900-01-01,2023-04-11
DateOfBirth,05-1908,0,5,1908,1900-01-01,2023-04-11
DateOfBirth,06-1908,0,6,1908,1900-01-01,2023-04-11
DateOfBirth,07-1908,0,7,1908,1900-01-01,2023-04-11
DateOfBirth,08-1908,0,8,1908,1900-01-01,2023-04-11
DateOfBirth,09-1908,0,9,1908,1900-01-01,2023-04-11
DateOfBirth,10-1908,0,10,1908,1900-01-01,2023-04-11
DateOfBirth,11-1908,0,11,1908,1900-01-01,2023-04-11
DateOfBirth,12-1908,0,12,1908,1900-01-01,2023-04-11
DateOfBirth,01-1909,0,1,1909,1900-01-01,2023-04-11
DateOfBirth,02-1909,0,2,1909,1900-01-01,2023-04-11
DateOfBirth,03-1909,0,3,1909,1900-01-01,2023-04-11
DateOfBirth,04-1909,0,4,1909,1900-01-01,2023-04-11
DateOfBirth,05-1909,0,5,1909,1900-01-01,2023-04-11
DateOfBirth,06-1909,0,6,1909,1900-01-01,2023-04-11
DateOfBirth,07-1909,0,7,1909,1900-01-01,2023-04-11
DateOfBirth,08-1909,0,8,1909,1900-01-01,2023-04-11
DateOfBirth,09-1909,0,9,1909,1900-01-01,2023-04-11
DateOfBirth,10-1909,0,10,1909,1900-01-01,2023-04-11
DateOfBirth,11-1909,0,11,1909,1900-01-01,2023-04-11
DateOfBirth,12-1909,0,12,1909,1900-01-01,2023-04-11
DateOfBirth,01-1910,0,1,1910,1900-01-01,2023-04-11
DateOfBirth,02-1910,0,2,1910,1900-01-01,2023-04-11
DateOfBirth,03-1910,0,3,1910,1900-01-01,2023-04-11
DateOfBirth,04-1910,0,4,1910,1900-01-01,2023-04-11
DateOfBirth,05-1910,0,5,1910,1900-01-01,2023-04-11
DateOfBirth,06-1910,0,6,1910,1900-01-01,2023-04-11
DateOfBirth,07-1910,0,7,1910,1900-01-01,2023-04-11
DateOfBirth,08-1910,0,8,1910,1900-01-01,2023-04-11
